Jungle Wurm ;19:15 
Modniir Ulgoth ;19:30 
Shadow Behemoth ;19:45 
Evolved Jungle Wurm ;20:00 
Golem Mark II ;20:00 
Svanir Shaman ;20:15 
Claw of Jormag ;20:30 
Fire Elemental ;20:45 
Taidha Covington ;21:00 
Jungle Wurm ;21:15 
Megadestroyer ;21:30 
Shadow Behemoth ;21:45 
The Shatterer ;22:00 
Svanir Shaman ;22:15 
Modniir Ulgoth ;22:30 
Fire Elemental ;22:45 
Karka Queen ;23:00 
Golem Mark II ;23:00 
Jungle Wurm ;23:15 
Claw of Jormag ;23:30 
Shadow Behemoth ;23:45 
Taidha Covington ;00:00 
Tequatl ;00:00 
Svanir Shaman ;00:15 
Megadestroyer ;00:30 
Fire Elemental ;00:45 
Evolved Jungle Wurm ;01:00 
The Shatterer ;01:00 
Jungle Wurm ;01:15 
Modniir Ulgoth ;01:30 
Shadow Behemoth ;01:45 
Karka Queen ;02:00 
Golem Mark II ;02:00 
Svanir Shaman ;02:15 
Claw of Jormag ;02:30 
Fire Elemental ;02:45 
Taidha Covington ;03:00 
Tequatl ;03:00 
Jungle Wurm ;03:15 
Megadestroyer ;03:30 
Shadow Behemoth ;03:45 
Evolved Jungle Wurm ;04:00 
The Shatterer ;04:00 
Svanir Shaman ;04:15 
Modniir Ulgoth ;04:30 
Fire Elemental ;04:45 
Golem Mark II ;05:00 
Jungle Wurm ;05:15 
Claw of Jormag ;05:30 
Shadow Behemoth ;05:45 
Karka Queen ;06:00 
Taidha Covington ;06:00 
Svanir Shaman ;06:15 
Megadestroyer ;06:30 
Fire Elemental ;06:45 
The Shatterer ;07:00 
Tequatl ;07:00 
Jungle Wurm ;07:15 
Modniir Ulgoth ;07:30 
Shadow Behemoth ;07:45 
Evolved Jungle Wurm ;08:00 
Golem Mark II ;08:00 
Svanir Shaman ;08:15 
Claw of Jormag ;08:30 
Fire Elemental ;08:45 
Taidha Covington ;09:00 
Jungle Wurm ;09:15 
Megadestroyer ;09:30 
Shadow Behemoth ;09:45 
The Shatterer ;10:00 
Svanir Shaman ;10:15 
Karka Queen ;10:30 
Modniir Ulgoth ;10:30 
Fire Elemental ;10:45 
Golem Mark II ;11:00 
Jungle Wurm ;11:15 
Claw of Jormag ;11:30 
Tequatl ;11:30 
Shadow Behemoth ;11:45 
Taidha Covington ;12:00 
Svanir Shaman ;12:15 
Megadestroyer ;12:30 
Evolved Jungle Wurm ;12:30 
Fire Elemental ;12:45 
The Shatterer ;13:00 
Jungle Wurm ;13:15 
Modniir Ulgoth ;13:30 
Shadow Behemoth ;13:45 
Golem Mark II ;14:00 
Svanir Shaman ;14:15 
Claw of Jormag ;14:30 
Fire Elemental ;14:45 
Karka Queen ;15:00 
Taidha Covington ;15:00 
Jungle Wurm ;15:15 
Megadestroyer ;15:30 
Shadow Behemoth ;15:45 
Tequatl ;16:00 
The Shatterer ;16:00 
Svanir Shaman ;16:15 
Modniir Ulgoth ;16:30 
Fire Elemental ;16:45 
Golem Mark II ;17:00 
Evolved Jungle Wurm ;17:00 
Jungle Wurm ;17:15 
Claw of Jormag ;17:30 
Shadow Behemoth ;17:45 
Karka Queen ;18:00 
Taidha Covington ;18:00 
Svanir Shaman ;18:15 
Megadestroyer ;18:30 
Fire Elemental ;18:45 
Tequatl ;19:00 
The Shatterer ;19:00  
